seller_id,delivered_orders,late_deliveries,late_delivery_rate,missed_handovers,missed_handover_rate,reviewed_orders,low_reviews,low_review_rate,all_orders,non_receipt_reports,delivery_record_discrepancies,no_recorded_delivery_reports,expected_late_orders,excess_late_orders,non_receipt_report_rate_pct,late_delivery_rate_pct,missed_handover_rate_pct,low_review_rate_pct
71039d19d4303bf9054d69e9a9236699,34,7,0.20588235294117646,2,0.058823529411764705,34,6,0.17647058823529413,34,0,0,0,2.328718196524991,4.67128180347501,0.0,20.588235294117645,5.88235294117647,17.647058823529413
abe42c5d03695b4257b5c6cbf4e6784e,49,8,0.16326530612244897,0,0.0,48,8,0.16666666666666666,50,1,0,1,3.356093871462487,4.6439061285375125,2.0,16.3265306122449,0.0,16.666666666666664
b17b679f4f5ce2e03ce6968c62648246,50,8,0.16,9,0.18,50,8,0.16,55,1,0,0,3.4245855831249865,4.575414416875013,1.8181818181818181,16.0,18.0,16.0
7d76b645482be4a332374e8223836592,168,16,0.09523809523809523,21,0.125,166,23,0.13855421686746988,172,3,0,2,11.506607559299955,4.493392440700045,1.744186046511628,9.523809523809524,12.5,13.855421686746988
6fd52c528dcb38be2eea044946b811f8,67,9,0.13432835820895522,19,0.2835820895522388,66,24,0.36363636363636365,67,2,0,0,4.588944681387482,4.411055318612518,2.9850746268656714,13.432835820895523,28.35820895522388,36.36363636363637
ba143b05f0110f0dc71ad71b4466ce92,82,10,0.12195121951219512,6,0.07317073170731707,82,6,0.07317073170731707,84,0,0,0,5.616320356324978,4.383679643675022,0.0,12.195121951219512,7.317073170731707,7.317073170731707
cfb1a033743668a192316f3c6d1d2671,128,13,0.1015625,16,0.125,127,14,0.11023622047244094,132,3,0,0,8.766939092799966,4.233060907200034,2.272727272727273,10.15625,12.5,11.023622047244094
e9d99831abad74458942f21e16f33f92,129,13,0.10077519379844961,16,0.12403100775193798,128,20,0.15625,129,1,1,0,8.835430804462465,4.164569195537535,0.7751937984496124,10.077519379844961,12.4031007751938,15.625
8b9d6eec4a7eb7d0f9d579ce0b38324d,44,7,0.1590909090909091,10,0.22727272727272727,44,4,0.09090909090909091,45,1,0,0,3.0136353131499884,3.9863646868500116,2.2222222222222223,15.909090909090908,22.727272727272727,9.090909090909092
66e0557ecc2b4dbea057e93f215f68d8,30,6,0.2,8,0.26666666666666666,30,4,0.13333333333333333,31,0,0,0,2.054751349874992,3.945248650125008,0.0,20.0,26.666666666666668,13.333333333333334
f3da5b2ff499efb8d4a6d371d175d7dd,75,9,0.12,5,0.06666666666666667,74,14,0.1891891891891892,77,1,0,0,5.1368783746874795,3.8631216253125205,1.2987012987012987,12.0,6.666666666666667,18.91891891891892
972d0f9cf61b499a4812cf0bfa3ad3c4,75,9,0.12,26,0.3466666666666667,73,30,0.410958904109589,77,0,0,0,5.1368783746874795,3.8631216253125205,0.0,12.0,34.66666666666667,41.0958904109589
ef506c96320abeedfb894c34db06f478,309,25,0.08090614886731391,26,0.08414239482200647,307,48,0.1563517915309446,317,3,1,0,21.163938903712417,3.836061096287583,0.9463722397476341,8.090614886731391,8.414239482200648,15.63517915309446
34056b8b55c1775a22af2331670a799c,77,9,0.11688311688311688,5,0.06493506493506493,77,11,0.14285714285714285,78,0,0,0,5.273861798012479,3.7261382019875207,0.0,11.688311688311687,6.493506493506493,14.285714285714285
50c9975695009e5e6473912e83a6d1da,49,7,0.14285714285714285,4,0.08163265306122448,48,9,0.1875,49,0,0,0,3.356093871462487,3.643906128537513,0.0,14.285714285714285,8.16326530612245,18.75
3db66a856d18a9cba7c9241fc5221c50,93,10,0.10752688172043011,23,0.24731182795698925,93,9,0.0967741935483871,93,3,0,0,6.369729184612475,3.630270815387525,3.225806451612903,10.75268817204301,24.731182795698924,9.67741935483871
9c0e69c7bf2619675bbadf47b43f655a,137,13,0.0948905109489051,34,0.24817518248175183,136,12,0.08823529411764706,142,0,0,0,9.383364497762463,3.6166355022375374,0.0,9.48905109489051,24.817518248175183,8.823529411764707
ec8879960bd2221d5c32f8e12f7da711,35,6,0.17142857142857143,0,0.0,34,4,0.11764705882352941,36,1,0,0,2.3972099081874907,3.6027900918125093,2.7777777777777777,17.142857142857142,0.0,11.76470588235294
dd55f1bb788714a40e7954c3be6df745,35,6,0.17142857142857143,3,0.08571428571428572,35,7,0.2,35,0,0,0,2.3972099081874907,3.6027900918125093,0.0,17.142857142857142,8.571428571428571,20.0
