seller_state,customer_state,delivered_orders,late_deliveries,late_delivery_rate,reviewed_orders,low_review_rate,median_delivery_days,route,all_orders,non_receipt_reports,delivery_record_discrepancies,expected_late_orders,excess_late_orders,late_delivery_rate_pct,low_review_rate_pct,non_receipt_report_rate_pct
SP,GO,1394,106,0.07604017216642754,1387,0.13482335976928622,14.0,SP → GO,1433,20,10,95.47744605752463,10.52255394247537,7.604017216642754,13.482335976928622,1.3956734124214933
SP,RN,330,33,0.1,327,0.13149847094801223,18.0,SP → RN,337,6,1,22.602264848624912,10.397735151375088,10.0,13.149847094801222,1.7804154302670623
SP,TO,191,21,0.1099476439790576,190,0.1368421052631579,16.0,SP → TO,194,0,0,13.08191692753745,7.918083072462551,10.99476439790576,13.684210526315791,0.0
RJ,BA,135,15,0.1111111111111111,133,0.11278195488721804,14.0,RJ → BA,138,2,0,9.246381074437464,5.753618925562536,11.11111111111111,11.278195488721805,1.4492753623188406
RJ,RS,196,17,0.08673469387755102,195,0.13333333333333333,14.0,RJ → RS,204,5,2,13.424375485849948,3.575624514150052,8.673469387755102,13.333333333333334,2.450980392156863
RJ,SC,110,11,0.1,109,0.08256880733944955,12.0,RJ → SC,115,0,0,7.53408828287497,3.4659117171250298,10.0,8.256880733944955,0.0
RJ,PR,200,17,0.085,199,0.1658291457286432,11.0,RJ → PR,203,2,1,13.698342332499946,3.301657667500054,8.5,16.582914572864322,0.9852216748768473
PR,ES,106,9,0.08490566037735849,104,0.125,16.0,PR → ES,106,0,0,7.2601214362249715,1.7398785637750285,8.49056603773585,12.5,0.0
ES,SP,100,8,0.08,99,0.10101010101010101,10.0,ES → SP,103,0,0,6.849171166249973,1.150828833750027,8.0,10.1010101010101,0.0
RS,RJ,240,17,0.07083333333333333,234,0.14957264957264957,11.0,RS → RJ,243,5,2,16.438010798999937,0.5619892010000633,7.083333333333333,14.957264957264957,2.05761316872428
MG,PE,109,8,0.07339449541284404,109,0.11009174311926606,14.0,MG → PE,113,1,0,7.465596571212471,0.5344034287875292,7.339449541284404,11.009174311926607,0.8849557522123894
SP,SP,30313,1425,0.04700953386335895,30132,0.10291384574538696,7.0,SP → SP,30984,230,104,2076.1892556253542,0.0,4.700953386335895,10.291384574538696,0.7423186160599018
SP,MG,7326,391,0.053371553371553374,7281,0.11907704985578904,11.0,SP → MG,7447,58,27,501.770279639473,0.0,5.3371553371553375,11.907704985578905,0.778837115617027
SP,RS,3540,238,0.0672316384180791,3528,0.12443310657596372,14.0,SP → RS,3595,34,19,242.46065928524905,0.0,6.723163841807909,12.443310657596372,0.9457579972183587
SP,PR,3077,138,0.04484887877803055,3064,0.1129242819843342,11.0,SP → PR,3124,25,13,210.74899678551168,0.0,4.484887877803055,11.29242819843342,0.8002560819462228
MG,SP,2506,91,0.036312849162011177,2494,0.09302325581395349,9.0,MG → SP,2561,19,8,171.64022942622432,0.0,3.6312849162011176,9.30232558139535,0.741897696212417
PR,SP,2872,89,0.030988857938718663,2855,0.09316987740805605,10.0,PR → SP,2933,14,6,196.70819589469923,0.0,3.098885793871866,9.316987740805605,0.47732696897374705
SP,DF,1365,89,0.0652014652014652,1357,0.1451731761238025,12.0,SP → DF,1394,14,6,93.49118641931213,0.0,6.520146520146521,14.517317612380252,1.0043041606886656
RJ,RJ,943,45,0.04772004241781548,932,0.09012875536480687,5.0,RJ → RJ,980,11,3,64.58768409773725,0.0,4.7720042417815485,9.012875536480687,1.1224489795918366
SC,SP,1288,48,0.037267080745341616,1285,0.11284046692607004,10.0,SC → SP,1306,10,5,88.21732462129965,0.0,3.7267080745341614,11.284046692607005,0.7656967840735069
MG,MG,1507,38,0.025215660252156602,1500,0.08133333333333333,7.0,MG → MG,1540,9,5,103.2170094753871,0.0,2.52156602521566,8.133333333333333,0.5844155844155844
PR,MG,803,32,0.039850560398505604,800,0.1075,12.0,PR → MG,815,7,3,54.998844464987286,0.0,3.9850560398505603,10.75,0.8588957055214724
PR,PR,703,19,0.02702702702702703,697,0.06886657101865136,7.0,PR → PR,720,6,2,48.14967329873731,0.0,2.7027027027027026,6.886657101865136,0.8333333333333334
